,neighborhood,year,month,day,day_of_week,day_segment,number_of_crimes
176,Mount Pleasant,2018,6,20,Wednesday,1200am-1159am,2.7297027111053467
177,Mount Pleasant,2018,6,20,Wednesday,1200pm-1159pm,3.682816743850708
178,Mount Pleasant,2018,6,21,Thursday,1200am-1159am,2.711378335952759
179,Mount Pleasant,2018,6,21,Thursday,1200pm-1159pm,3.66449236869812
180,Mount Pleasant,2018,6,22,Friday,1200am-1159am,2.711378335952759
181,Mount Pleasant,2018,6,22,Friday,1200pm-1159pm,3.66449236869812
182,Grandview Woodland,2018,6,16,Saturday,1200am-1159am,2.398019552230835
183,Grandview Woodland,2018,6,16,Saturday,1200pm-1159pm,3.028289556503296
184,Grandview Woodland,2018,6,17,Sunday,1200am-1159am,2.398019552230835
185,Grandview Woodland,2018,6,17,Sunday,1200pm-1159pm,3.028289556503296
186,Grandview Woodland,2018,6,18,Monday,1200am-1159am,2.384976387023926
187,Grandview Woodland,2018,6,18,Monday,1200pm-1159pm,3.0152461528778076
188,Grandview Woodland,2018,6,19,Tuesday,1200am-1159am,2.384976387023926
189,Grandview Woodland,2018,6,19,Tuesday,1200pm-1159pm,3.0152461528778076
190,Grandview Woodland,2018,6,20,Wednesday,1200am-1159am,2.370490550994873
191,Grandview Woodland,2018,6,20,Wednesday,1200pm-1159pm,3.000760793685913
192,Grandview Woodland,2018,6,21,Thursday,1200am-1159am,2.3521666526794434
193,Grandview Woodland,2018,6,21,Thursday,1200pm-1159pm,2.982436418533325
194,Grandview Woodland,2018,6,22,Friday,1200am-1159am,2.3521666526794434
195,Grandview Woodland,2018,6,22,Friday,1200pm-1159pm,2.982436418533325
196,Renfrew-Collingwood,2018,6,16,Saturday,1200am-1159am,2.3012797832489014
197,Renfrew-Collingwood,2018,6,16,Saturday,1200pm-1159pm,3.223357915878296
198,Renfrew-Collingwood,2018,6,17,Sunday,1200am-1159am,2.3012797832489014
199,Renfrew-Collingwood,2018,6,17,Sunday,1200pm-1159pm,3.223357915878296
200,Renfrew-Collingwood,2018,6,18,Monday,1200am-1159am,2.288236618041992
201,Renfrew-Collingwood,2018,6,18,Monday,1200pm-1159pm,3.2103145122528076
202,Renfrew-Collingwood,2018,6,19,Tuesday,1200am-1159am,2.288236618041992
203,Renfrew-Collingwood,2018,6,19,Tuesday,1200pm-1159pm,3.2103145122528076
204,Renfrew-Collingwood,2018,6,20,Wednesday,1200am-1159am,2.2737507820129395
205,Renfrew-Collingwood,2018,6,20,Wednesday,1200pm-1159pm,3.195829153060913
206,Renfrew-Collingwood,2018,6,21,Thursday,1200am-1159am,2.2832045555114746
207,Renfrew-Collingwood,2018,6,21,Thursday,1200pm-1159pm,3.20528244972229
208,Renfrew-Collingwood,2018,6,22,Friday,1200am-1159am,2.2832045555114746
209,Renfrew-Collingwood,2018,6,22,Friday,1200pm-1159pm,3.20528244972229
210,Hastings-Sunrise,2018,6,16,Saturday,1200am-1159am,1.7942416667938232
211,Hastings-Sunrise,2018,6,16,Saturday,1200pm-1159pm,2.267867088317871
212,Hastings-Sunrise,2018,6,17,Sunday,1200am-1159am,1.7942416667938232
213,Hastings-Sunrise,2018,6,17,Sunday,1200pm-1159pm,2.267867088317871
214,Hastings-Sunrise,2018,6,18,Monday,1200am-1159am,1.7811983823776245
215,Hastings-Sunrise,2018,6,18,Monday,1200pm-1159pm,2.254823684692383
216,Hastings-Sunrise,2018,6,19,Tuesday,1200am-1159am,1.7811983823776245
217,Hastings-Sunrise,2018,6,19,Tuesday,1200pm-1159pm,2.254823684692383
218,Hastings-Sunrise,2018,6,20,Wednesday,1200am-1159am,1.7667127847671509
219,Hastings-Sunrise,2018,6,20,Wednesday,1200pm-1159pm,2.240338087081909
220,Hastings-Sunrise,2018,6,21,Thursday,1200am-1159am,1.748388648033142
221,Hastings-Sunrise,2018,6,21,Thursday,1200pm-1159pm,2.2220139503479004
222,Hastings-Sunrise,2018,6,22,Friday,1200am-1159am,1.748388648033142
223,Hastings-Sunrise,2018,6,22,Friday,1200pm-1159pm,2.2220139503479004
224,Kensington-Cedar Cottage,2018,6,16,Saturday,1200am-1159am,2.055419921875
225,Kensington-Cedar Cottage,2018,6,16,Saturday,1200pm-1159pm,2.7743966579437256
226,Kensington-Cedar Cottage,2018,6,17,Sunday,1200am-1159am,2.055419921875
227,Kensington-Cedar Cottage,2018,6,17,Sunday,1200pm-1159pm,2.7743966579437256
228,Kensington-Cedar Cottage,2018,6,18,Monday,1200am-1159am,2.042376756668091
229,Kensington-Cedar Cottage,2018,6,18,Monday,1200pm-1159pm,2.7613532543182373
230,Kensington-Cedar Cottage,2018,6,19,Tuesday,1200am-1159am,2.042376756668091
231,Kensington-Cedar Cottage,2018,6,19,Tuesday,1200pm-1159pm,2.7613532543182373
232,Kensington-Cedar Cottage,2018,6,20,Wednesday,1200am-1159am,2.027891159057617
233,Kensington-Cedar Cottage,2018,6,20,Wednesday,1200pm-1159pm,2.7468678951263428
234,Kensington-Cedar Cottage,2018,6,21,Thursday,1200am-1159am,2.0345685482025146
235,Kensington-Cedar Cottage,2018,6,21,Thursday,1200pm-1159pm,2.753545045852661
236,Kensington-Cedar Cottage,2018,6,22,Friday,1200am-1159am,2.0345685482025146
237,Kensington-Cedar Cottage,2018,6,22,Friday,1200pm-1159pm,2.753545045852661
238,West Point Grey,2018,6,16,Saturday,1200am-1159am,1.418776273727417
239,West Point Grey,2018,6,16,Saturday,1200pm-1159pm,1.7831268310546875
240,West Point Grey,2018,6,17,Sunday,1200am-1159am,1.418776273727417
241,West Point Grey,2018,6,17,Sunday,1200pm-1159pm,1.7831268310546875
242,West Point Grey,2018,6,18,Monday,1200am-1159am,1.4057329893112183
243,West Point Grey,2018,6,18,Monday,1200pm-1159pm,1.7700836658477783
244,West Point Grey,2018,6,19,Tuesday,1200am-1159am,1.4057329893112183
245,West Point Grey,2018,6,19,Tuesday,1200pm-1159pm,1.7700836658477783
246,West Point Grey,2018,6,20,Wednesday,1200am-1159am,1.3912475109100342
247,West Point Grey,2018,6,20,Wednesday,1200pm-1159pm,1.7555980682373047
248,West Point Grey,2018,6,21,Thursday,1200am-1159am,1.3729231357574463
249,West Point Grey,2018,6,21,Thursday,1200pm-1159pm,1.737273931503296
250,West Point Grey,2018,6,22,Friday,1200am-1159am,1.3729231357574463
251,West Point Grey,2018,6,22,Friday,1200pm-1159pm,1.737273931503296
252,South Cambie,2018,6,16,Saturday,1200am-1159am,1.3727816343307495
253,South Cambie,2018,6,16,Saturday,1200pm-1159pm,1.7260643243789673
254,South Cambie,2018,6,17,Sunday,1200am-1159am,1.3727816343307495
255,South Cambie,2018,6,17,Sunday,1200pm-1159pm,1.7260643243789673
256,South Cambie,2018,6,18,Monday,1200am-1159am,1.3597382307052612
257,South Cambie,2018,6,18,Monday,1200pm-1159pm,1.7130210399627686
258,South Cambie,2018,6,19,Tuesday,1200am-1159am,1.3597382307052612
259,South Cambie,2018,6,19,Tuesday,1200pm-1159pm,1.7130210399627686
260,South Cambie,2018,6,20,Wednesday,1200am-1159am,1.3452527523040771
261,South Cambie,2018,6,20,Wednesday,1200pm-1159pm,1.698535442352295
262,South Cambie,2018,6,21,Thursday,1200am-1159am,1.3269286155700684
263,South Cambie,2018,6,21,Thursday,1200pm-1159pm,1.6802113056182861
264,South Cambie,2018,6,22,Friday,1200am-1159am,1.3269286155700684
265,South Cambie,2018,6,22,Friday,1200pm-1159pm,1.6802113056182861
266,Stanley Park,2018,6,16,Saturday,1200am-1159am,1.3768630027770996
267,Stanley Park,2018,6,16,Saturday,1200pm-1159pm,1.6615407466888428
268,Stanley Park,2018,6,17,Sunday,1200am-1159am,1.3768630027770996
269,Stanley Park,2018,6,17,Sunday,1200pm-1159pm,1.6615407466888428
270,Stanley Park,2018,6,18,Monday,1200am-1159am,1.3638197183609009
271,Stanley Park,2018,6,18,Monday,1200pm-1159pm,1.648497462272644
272,Stanley Park,2018,6,19,Tuesday,1200am-1159am,1.3638197183609009
273,Stanley Park,2018,6,19,Tuesday,1200pm-1159pm,1.648497462272644
274,Stanley Park,2018,6,20,Wednesday,1200am-1159am,1.3493342399597168
275,Stanley Park,2018,6,20,Wednesday,1200pm-1159pm,1.6340118646621704
276,Stanley Park,2018,6,21,Thursday,1200am-1159am,1.3310097455978394
277,Stanley Park,2018,6,21,Thursday,1200pm-1159pm,1.6156877279281616
278,Stanley Park,2018,6,22,Friday,1200am-1159am,1.3310097455978394
279,Stanley Park,2018,6,22,Friday,1200pm-1159pm,1.6156877279281616
280,Oakridge,2018,6,16,Saturday,1200am-1159am,1.4807395935058594
281,Oakridge,2018,6,16,Saturday,1200pm-1159pm,1.894897222518921
282,Oakridge,2018,6,17,Sunday,1200am-1159am,1.4807395935058594
283,Oakridge,2018,6,17,Sunday,1200pm-1159pm,1.894897222518921
284,Oakridge,2018,6,18,Monday,1200am-1159am,1.4676965475082397
285,Oakridge,2018,6,18,Monday,1200pm-1159pm,1.8818539381027222
286,Oakridge,2018,6,19,Tuesday,1200am-1159am,1.4676965475082397
287,Oakridge,2018,6,19,Tuesday,1200pm-1159pm,1.8818539381027222
288,Oakridge,2018,6,20,Wednesday,1200am-1159am,1.4532109498977661
289,Oakridge,2018,6,20,Wednesday,1200pm-1159pm,1.8673683404922485
290,Oakridge,2018,6,21,Thursday,1200am-1159am,1.4348865747451782
291,Oakridge,2018,6,21,Thursday,1200pm-1159pm,1.8490442037582397
292,Oakridge,2018,6,22,Friday,1200am-1159am,1.4348865747451782
293,Oakridge,2018,6,22,Friday,1200pm-1159pm,1.8490442037582397
294,Musqueam,2018,6,16,Saturday,1200am-1159am,1.5286660194396973
295,Musqueam,2018,6,16,Saturday,1200pm-1159pm,1.8264228105545044
296,Musqueam,2018,6,17,Sunday,1200am-1159am,1.5286660194396973
297,Musqueam,2018,6,17,Sunday,1200pm-1159pm,1.8264228105545044
298,Musqueam,2018,6,18,Monday,1200am-1159am,1.5156227350234985
299,Musqueam,2018,6,18,Monday,1200pm-1159pm,1.8133795261383057
300,Musqueam,2018,6,19,Tuesday,1200am-1159am,1.5156227350234985
301,Musqueam,2018,6,19,Tuesday,1200pm-1159pm,1.8133795261383057
302,Musqueam,2018,6,20,Wednesday,1200am-1159am,1.501137375831604
303,Musqueam,2018,6,20,Wednesday,1200pm-1159pm,1.798893928527832
304,Musqueam,2018,6,21,Thursday,1200am-1159am,1.491111397743225
305,Musqueam,2018,6,21,Thursday,1200pm-1159pm,1.7888679504394531
306,Musqueam,2018,6,22,Friday,1200am-1159am,1.491111397743225
307,Musqueam,2018,6,22,Friday,1200pm-1159pm,1.7888679504394531
308,Strathcona,2018,6,16,Saturday,1200am-1159am,2.0175912380218506
309,Strathcona,2018,6,16,Saturday,1200pm-1159pm,2.4328103065490723
310,Strathcona,2018,6,17,Sunday,1200am-1159am,2.0175912380218506
311,Strathcona,2018,6,17,Sunday,1200pm-1159pm,2.4328103065490723
312,Strathcona,2018,6,18,Monday,1200am-1159am,2.059678077697754
313,Strathcona,2018,6,18,Monday,1200pm-1159pm,2.4748969078063965
314,Strathcona,2018,6,19,Tuesday,1200am-1159am,2.059678077697754
315,Strathcona,2018,6,19,Tuesday,1200pm-1159pm,2.4748969078063965
316,Strathcona,2018,6,20,Wednesday,1200am-1159am,2.045192241668701
317,Strathcona,2018,6,20,Wednesday,1200pm-1159pm,2.460411548614502
318,Strathcona,2018,6,21,Thursday,1200am-1159am,2.1480584144592285
319,Strathcona,2018,6,21,Thursday,1200pm-1159pm,2.563277006149292
320,Strathcona,2018,6,22,Friday,1200am-1159am,2.1480584144592285
321,Strathcona,2018,6,22,Friday,1200pm-1159pm,2.563277006149292
