STATION,NAME,DATE,TMAX,TMIN
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/8/03,60,44
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/9/03,53,41
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/10/03,60,41
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/11/03,60,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/12/03,54,41
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/13/03,,
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/14/03,57,41
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/15/03,56,46
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/16/03,57,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/17/03,53,43
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/18/03,53,40
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/19/03,55,44
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/20/03,63,44
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/21/03,52,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/22/03,56,42
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/23/03,50,44
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/24/03,48,42
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/25/03,57,38
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/26/03,55,34
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/27/03,60,46
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/28/03,69,44
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/29/03,65,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/30/03,60,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/1/03,63,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/2/03,57,48
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/3/03,55,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/4/03,53,46
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/5/03,55,42
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/6/03,57,33
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/7/03,57,37
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/8/03,62,36
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/9/03,61,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/10/03,60,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/11/03,63,46
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/12/03,60,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/13/03,65,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/14/03,57,41
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/15/03,51,36
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",5/16/03,55,42
