,neighborhood,year,month,day,day_of_week,day_segment,number_of_crimes
127,Shaughnessy,2018,7,28,Saturday,1200pm-1159pm,1.7102388143539429
128,Shaughnessy,2018,7,29,Sunday,1200am-1159am,1.4163241386413574
129,Shaughnessy,2018,7,29,Sunday,1200pm-1159pm,1.7102388143539429
130,Shaughnessy,2018,7,30,Monday,1200am-1159am,1.4163241386413574
131,Shaughnessy,2018,7,30,Monday,1200pm-1159pm,1.7102388143539429
132,Shaughnessy,2018,7,31,Tuesday,1200am-1159am,1.4163241386413574
133,Shaughnessy,2018,7,31,Tuesday,1200pm-1159pm,1.7102388143539429
134,Shaughnessy,2018,8,1,Wednesday,1200am-1159am,1.4749383926391602
135,Shaughnessy,2018,8,1,Wednesday,1200pm-1159pm,1.7811241149902344
136,Shaughnessy,2018,8,2,Thursday,1200am-1159am,1.4749383926391602
137,Shaughnessy,2018,8,2,Thursday,1200pm-1159pm,1.7811241149902344
138,Shaughnessy,2018,8,3,Friday,1200am-1159am,1.4749383926391602
139,Shaughnessy,2018,8,3,Friday,1200pm-1159pm,1.7811241149902344
140,Killarney,2018,7,28,Saturday,1200am-1159am,1.48405122756958
141,Killarney,2018,7,28,Saturday,1200pm-1159pm,1.9585832357406616
142,Killarney,2018,7,29,Sunday,1200am-1159am,1.48405122756958
143,Killarney,2018,7,29,Sunday,1200pm-1159pm,1.9585832357406616
144,Killarney,2018,7,30,Monday,1200am-1159am,1.48405122756958
145,Killarney,2018,7,30,Monday,1200pm-1159pm,1.9585832357406616
146,Killarney,2018,7,31,Tuesday,1200am-1159am,1.48405122756958
147,Killarney,2018,7,31,Tuesday,1200pm-1159pm,1.9585832357406616
148,Killarney,2018,8,1,Wednesday,1200am-1159am,1.5426654815673828
149,Killarney,2018,8,1,Wednesday,1200pm-1159pm,2.029468536376953
150,Killarney,2018,8,2,Thursday,1200am-1159am,1.5426654815673828
151,Killarney,2018,8,2,Thursday,1200pm-1159pm,2.029468536376953
152,Killarney,2018,8,3,Friday,1200am-1159am,1.5426654815673828
153,Killarney,2018,8,3,Friday,1200pm-1159pm,2.029468536376953
154,Fairview,2018,7,28,Saturday,1200am-1159am,2.3093762397766113
155,Fairview,2018,7,28,Saturday,1200pm-1159pm,3.2517354488372803
156,Fairview,2018,7,29,Sunday,1200am-1159am,2.3093762397766113
157,Fairview,2018,7,29,Sunday,1200pm-1159pm,3.2517354488372803
158,Fairview,2018,7,30,Monday,1200am-1159am,2.3093762397766113
159,Fairview,2018,7,30,Monday,1200pm-1159pm,3.2517354488372803
160,Fairview,2018,7,31,Tuesday,1200am-1159am,2.3093762397766113
161,Fairview,2018,7,31,Tuesday,1200pm-1159pm,3.2517354488372803
162,Fairview,2018,8,1,Wednesday,1200am-1159am,2.460484504699707
163,Fairview,2018,8,1,Wednesday,1200pm-1159pm,3.4151148796081543
164,Fairview,2018,8,2,Thursday,1200am-1159am,2.460484504699707
165,Fairview,2018,8,2,Thursday,1200pm-1159pm,3.4151148796081543
166,Fairview,2018,8,3,Friday,1200am-1159am,2.460484504699707
167,Fairview,2018,8,3,Friday,1200pm-1159pm,3.4151148796081543
168,Mount Pleasant,2018,7,28,Saturday,1200am-1159am,2.610476493835449
169,Mount Pleasant,2018,7,28,Saturday,1200pm-1159pm,3.7372119426727295
170,Mount Pleasant,2018,7,29,Sunday,1200am-1159am,2.610476493835449
171,Mount Pleasant,2018,7,29,Sunday,1200pm-1159pm,3.7372119426727295
172,Mount Pleasant,2018,7,30,Monday,1200am-1159am,2.610476493835449
173,Mount Pleasant,2018,7,30,Monday,1200pm-1159pm,3.7372119426727295
174,Mount Pleasant,2018,7,31,Tuesday,1200am-1159am,2.610476493835449
175,Mount Pleasant,2018,7,31,Tuesday,1200pm-1159pm,3.7372119426727295
176,Mount Pleasant,2018,8,1,Wednesday,1200am-1159am,2.719693422317505
177,Mount Pleasant,2018,8,1,Wednesday,1200pm-1159pm,3.8587000370025635
178,Mount Pleasant,2018,8,2,Thursday,1200am-1159am,2.719693422317505
179,Mount Pleasant,2018,8,2,Thursday,1200pm-1159pm,3.8587000370025635
180,Mount Pleasant,2018,8,3,Friday,1200am-1159am,2.719693422317505
181,Mount Pleasant,2018,8,3,Friday,1200pm-1159pm,3.8587000370025635
182,Grandview Woodland,2018,7,28,Saturday,1200am-1159am,2.3651347160339355
183,Grandview Woodland,2018,7,28,Saturday,1200pm-1159pm,2.9198474884033203
184,Grandview Woodland,2018,7,29,Sunday,1200am-1159am,2.3651347160339355
185,Grandview Woodland,2018,7,29,Sunday,1200pm-1159pm,2.9198474884033203
186,Grandview Woodland,2018,7,30,Monday,1200am-1159am,2.3651347160339355
187,Grandview Woodland,2018,7,30,Monday,1200pm-1159pm,2.9198474884033203
188,Grandview Woodland,2018,7,31,Tuesday,1200am-1159am,2.3651347160339355
189,Grandview Woodland,2018,7,31,Tuesday,1200pm-1159pm,2.9198474884033203
190,Grandview Woodland,2018,8,1,Wednesday,1200am-1159am,2.4047770500183105
191,Grandview Woodland,2018,8,1,Wednesday,1200pm-1159pm,2.9717607498168945
192,Grandview Woodland,2018,8,2,Thursday,1200am-1159am,2.4047770500183105
193,Grandview Woodland,2018,8,2,Thursday,1200pm-1159pm,2.9717607498168945
194,Grandview Woodland,2018,8,3,Friday,1200am-1159am,2.4047770500183105
195,Grandview Woodland,2018,8,3,Friday,1200pm-1159pm,2.9717607498168945
196,Renfrew-Collingwood,2018,7,28,Saturday,1200am-1159am,2.230750560760498
